Name,Amount,BaseDate,Category
Stocks,400,Oct 24 2024 12:00PM,INVESTMENT
Refund,100,Jun 23 2023 05:00PM,REFUND
Groceries,-150,Jun 23 2023 06:30PM,SHOPPING
Salary,2000,Mar 15 2024 09:00AM,INCOME
Electric Bill,-75,Mar 20 2024 04:45PM,DEBT
Car Loan Payment,-300,Mar 22 2024 11:30AM,DEBT
Amazon Purchase,-50,Mar 24 2024 02:15PM,SHOPPING
Birthday Gift,50,Mar 25 2024 08:00AM,GIFT
Rental Income,800,Mar 27 2024 12:00PM,INCOME
Dinner Out,70,Mar 27 2024 07:30PM,TREAT
Laptop Repair Expense,-200,Mar 28 2024 10:45AM,OTHER
Tax Refund,300,Mar 29 2024 03:30PM,REFUND
Health Insurance Premium,-150,Mar 30 2024 09:30AM,INSURANCE
Bank Robbery,1000,Apr 1 2024 11:00AM,OTHER
